Source:,C:\Users\Drew Maatman\Documents\KiCad Projects\Projects\VFD_Clock\rev_b\hdw\Logic_Board\VFD_Clock\VFD_Clock.sch,,,,,,,,,,,,,,,,,,
Date:,10/18/2020 13:45,,,,,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.4)-1,,,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,
Component Count:,400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Config,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
,,C1004,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1005,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1007,6.8nF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1084-1-ND,,,,,50V,,603
,,C1009,4.7uF,Custom_Library:C_Custom,Capacitors_SMD:C_0805,,,,,,X7R,1276-2970-1-ND,,,,,16V,,805
,,C1010,1uF,Custom_Library:C_Custom,Capacitors_SMD:C_1210,,,,,,X7R,490-1857-1-ND,,,,,100V,,1210
,,C1011,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0805,,,,,,X7R,490-4789-1-ND,,,,,100V,,805
,,C1102,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1104,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1105,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0805,,,,,,X7R,490-4789-1-ND,,,,,100V,,805
,,C1301,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1302,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1303,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1501,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C1502,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C1601,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1602,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1603,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1604,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1605,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1606,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1607,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1608,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1609,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1610,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1615,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1616,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1617,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1622,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1623,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1624,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1701,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1702,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1703,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1704,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X5R,490-12538-1-ND,,,,,6.3V,,603
,,C1801,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1803,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C1804,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
