Source:,C:\Users\Drew Maatman\Documents\KiCad Projects\Projects\VFD_Clock\rev_b\hdw\Logic_Board\VFD_Clock\VFD_Clock.sch,,,,,,,,,,,,,,,,,,
Date:,10/18/2020 13:45,,,,,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.4)-1,,,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,
Component Count:,400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Config,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
,,J1801,I2C,Connector_Generic:Conn_01x03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,~,,,,,,,,,,,,,
,,J1802,USB UART,Connector_Generic:Conn_01x03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,~,,,,,,,,,,,,,
,,J2401,USB_B_Mini,Connector:USB_B_Mini,Connectors:USB_Mini-B,~,,,,,,732-2109-1-ND,,,,,,,
,,J3001,DSP_IO_Connector,Connector_Generic:Conn_02x30_Odd_Even,Custom Footprints Library:ERF8-030-07.0-S-DV-K-TR,~,,,,,,ERF8-030-07.0-S-DV-K-TR,,,,,,,
,,L401,2.2uH,Custom_Library:L_Custom,Inductors_SMD:L_Vishay_IHLP-1212,,3A,,,,,541-1322-1-ND,,,,20%,,,IHLP1212
,,L601,2.2uH,Custom_Library:L_Custom,Inductors_SMD:L_Vishay_IHLP-1212,,3A,,,,,541-1322-1-ND,,,,20%,,,IHLP1212
,,L801,2.2uH,Custom_Library:L_Custom,Inductors_SMD:L_Vishay_IHLP-1212,,3A,,,,,541-1322-1-ND,,,,20%,,,IHLP1212
,,L1001,100uH,Custom_Library:L_Custom,Inductors_SMD:L_Vishay_IHLP-4040,,2.25A,,,,,541-1310-1-ND,,,,20%,,,IHLP-4040
,,L1601,600R 0.5A,Device:Ferrite_Bead,Inductors_SMD:L_0603,~,,,,,,732-2389-1-ND,,,,,,,
,,L1602,600R 0.5A,Device:Ferrite_Bead,Inductors_SMD:L_0603,~,,,,,,732-2389-1-ND,,,,,,,
,,L1701,600R 0.5A,Device:Ferrite_Bead,Inductors_SMD:L_0603,~,,,,,,732-2389-1-ND,,,,,,,
,,L1702,600R 0.5A,Device:Ferrite_Bead,Inductors_SMD:L_0603,~,,,,,,732-2389-1-ND,,,,,,,
,,L2401,600R 0.5A,Device:Ferrite_Bead,Inductors_SMD:L_0603,~,,,,,,732-2389-1-ND,,,,,,,
,,L2402,600R 0.5A,Device:Ferrite_Bead,Inductors_SMD:L_0603,~,,,,,,732-2389-1-ND,,,,,,,
,,MK3101,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3102,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3103,Standoff,Custom_Library:Standoff,,,,,,,,1772-1220-ND,,,,,,,
,,MK3104,Standoff,Custom_Library:Standoff,,,,,,,,1772-1220-ND,,,,,,,
,,MK3105,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3106,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3107,Screw,Custom_Library:Screw,,,,,,,,36-9900-ND,,,,,,,
,,MK3108,Screw,Custom_Library:Screw,,,,,,,,36-9900-ND,,,,,,,
,,MK3109,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3110,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3111,Standoff,Custom_Library:Standoff,,,,,,,,1772-1220-ND,,,,,,,
,,MK3112,Standoff,Custom_Library:Standoff,,,,,,,,1772-1220-ND,,,,,,,
,,MK3113,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3114,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3115,Screw,Custom_Library:Screw,,,,,,,,36-9900-ND,,,,,,,
,,MK3116,Screw,Custom_Library:Screw,,,,,,,,36-9900-ND,,,,,,,
,,MK3117,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3118,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3119,Standoff,Custom_Library:Standoff,,,,,,,,1772-1220-ND,,,,,,,
,,MK3120,Standoff,Custom_Library:Standoff,,,,,,,,1772-1220-ND,,,,,,,
,,MK3121,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3122,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3123,Screw,Custom_Library:Screw,,,,,,,,36-9900-ND,,,,,,,
,,MK3124,Screw,Custom_Library:Screw,,,,,,,,36-9900-ND,,,,,,,
,,MK3125,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3126,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3127,Standoff,Custom_Library:Standoff,,,,,,,,1772-1220-ND,,,,,,,
,,MK3128,Standoff,Custom_Library:Standoff,,,,,,,,1772-1220-ND,,,,,,,
,,MK3129,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3130,Standoff,Custom_Library:Standoff,,,,,,,,1772-2080-ND,,,,,,,
,,MK3131,Screw,Custom_Library:Screw,,,,,,,,36-9900-ND,,,,,,,
,,MK3132,Screw,Custom_Library:Screw,,,,,,,,36-9900-ND,,,,,,,
,,N201,+12V 1A Power Supply,Mechanical:Housing,,~,,,,,,993-1335-ND,,,,,,,
,,Q1001,IRFL214TRPBF,Device:Q_NMOS_GDS,Package_TO_SOT_SMD:SOT-223-3_TabPin2,,,,,,,IRFL214PBFCT-ND,,,,,,,
,,Q1301,BSS214NW,Transistor_FET:BSS214NW,TO_SOT_Packages_SMD:SOT-323_SC-70,https://www.infineon.com/dgdl/Infineon-BSS214NW-DS-v02_02-en.pdf?fileId=db3a30431b3e89eb011b695aebc01bde,,,,,,BSS214NWH6327XTSA1CT-ND,,,,,,,
,,Q1302,ZXMS6004FFTA,Custom_Library:ZXMS6004FFTA,Package_TO_SOT_SMD:SOT-23,https://www.diodes.com/assets/Datasheets/ZXMS6004FF.pdf,,,,,,ZXMS6004FFCT-ND,,,,,,,
,,Q1304,BSS214NW,Transistor_FET:BSS214NW,TO_SOT_Packages_SMD:SOT-323_SC-70,https://www.infineon.com/dgdl/Infineon-BSS214NW-DS-v02_02-en.pdf?fileId=db3a30431b3e89eb011b695aebc01bde,,,,,,BSS214NWH6327XTSA1CT-ND,,,,,,,
,,Q1306,ZXMS6004FFTA,Custom_Library:ZXMS6004FFTA,Package_TO_SOT_SMD:SOT-23,https://www.diodes.com/assets/Datasheets/ZXMS6004FF.pdf,,,,,,ZXMS6004FFCT-ND,,,,,,,
,,Q1307,BSS214NW,Transistor_FET:BSS214NW,TO_SOT_Packages_SMD:SOT-323_SC-70,https://www.infineon.com/dgdl/Infineon-BSS214NW-DS-v02_02-en.pdf?fileId=db3a30431b3e89eb011b695aebc01bde,,,,,,BSS214NWH6327XTSA1CT-ND,,,,,,,
,,Q1308,ZXMS6004FFTA,Custom_Library:ZXMS6004FFTA,Package_TO_SOT_SMD:SOT-23,https://www.diodes.com/assets/Datasheets/ZXMS6004FF.pdf,,,,,,ZXMS6004FFCT-ND,,,,,,,
,,Q1501,BSS214NW,Transistor_FET:BSS214NW,TO_SOT_Packages_SMD:SOT-323_SC-70,https://www.infineon.com/dgdl/Infineon-BSS214NW-DS-v02_02-en.pdf?fileId=db3a30431b3e89eb011b695aebc01bde,,,,,,BSS214NWH6327XTSA1CT-ND,,,,,,,
,,Q1801,BSS214NW,Transistor_FET:BSS214NW,TO_SOT_Packages_SMD:SOT-323_SC-70,https://www.infineon.com/dgdl/Infineon-BSS214NW-DS-v02_02-en.pdf?fileId=db3a30431b3e89eb011b695aebc01bde,,,,,,BSS214NWH6327XTSA1CT-ND,,,,,,,
,,R201,51.1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT51K1TR-ND,,,,1%,,1/10W,603
,,R202,1.15k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K15CT-ND,,,,1%,,1/10W,603
,,R203,5.11k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,CR0603-FX-5111ELFCT-ND,,,,1%,,1/10W,603
,,R204,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG2321CT-ND,,,,1%,,1/10W,603
,,R205,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG2321CT-ND,,,,1%,,1/10W,603
,,R206,0.02,Custom_Library:R_Custom,Resistors_SMD:R_0612,,,,,,,P16010CT-ND,,,,1%,,1W,612
,,R207,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG2321CT-ND,,,,1%,,1/10W,603
,,R208,13k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,311-13.0KHRCT-ND,,,,1%,,1/10W,603
,,R209,5.11k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,CR0603-FX-5111ELFCT-ND,,,,1%,,1/10W,603
,,R210,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG2321CT-ND,,,,1%,,1/10W,603
,,R211,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG2321CT-ND,,,,1%,,1/10W,603
,,R404,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RHM10KADCT-ND,,,,1%,,1/10W,603
,,R405,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R406,0.02,Custom_Library:R_Custom,Resistors_SMD:R_0612,,,,,,,P16010CT-ND,,,,1%,,1W,612
,,R407,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R408,562k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,311-562KHRCT-ND,,,,1%,,1/10W,603
,,R409,180k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,749-1763-1-ND,,,,1%,,1/10W,603
,,R604,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RHM10KADCT-ND,,,,1%,,1/10W,603
,,R605,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RHM10KADCT-ND,,,,1%,,1/10W,603
,,R606,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R607,0.02,Custom_Library:R_Custom,Resistors_SMD:R_0612,,,,,,,P16010CT-ND,,,,1%,,1W,612
,,R608,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R609,10.5k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,311-10.5KHRCT-ND,,,,1%,,1/10W,603
,,R610,2k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,311-2.00KHRCT-ND,,,,1%,,1/10W,603
,,R804,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RHM10KADCT-ND,,,,1%,,1/10W,603
,,R805,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RHM10KADCT-ND,,,,1%,,1/10W,603
,,R806,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R807,0.02,Custom_Library:R_Custom,Resistors_SMD:R_0612,,,,,,,P16010CT-ND,,,,1%,,1W,612
,,R808,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R809,75k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,749-1681-1-ND,,,,1%,,1/10W,603
,,R810,150k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,A129714CT-ND,,,,1%,,1/10W,603
,,R1003,196k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P196KHCT-ND,,,,1%,,1/10W,603
,,R1004,237,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,541-237HCT-ND,,,,1%,,1/10W,603
,,R1005,1.2k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P1.20KHCT-ND,,,,1%,,1/10W,603
,,R1007,17.4k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,311-17.4KHRCT-ND,,,,1%,,1/10W,603
,,R1008,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P10.0KHCT-ND,,,,1%,,1/10W,603
,,R1009,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P10.0KHCT-ND,,,,1%,,1/10W,603
,,R1010,22k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,A129704CT-ND,,,,1%,,1/10W,603
,,R1011,2,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,541-2.00SCT-ND,,,,1%,,1/16W,603
,,R1012,0.16,Custom_Library:R_Custom,Resistors_SMD:R_0805,,,,,,,P.16BJCT-ND,,,,1%,,1/4W,805
,,R1013,10k,Custom_Library:R_Custom,Resistors_SMD:R_2512,,,,,,,541-10.0KAFCT-ND,,,,1%,,1W,2512
,,R1014,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R1015,1,Custom_Library:R_Custom,Resistors_SMD:R_0612,,,,,,,RHM1220CT-ND,,,,1%,,1W,612
,,R1016,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R1017,36.5k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT36K5CT-ND,,,,1%,,1/10W,603
,,R1018,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R1301,100,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,A106047CT-ND,,,,1%,,1/10W,603
,,R1302,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P10.0KHCT-ND,,,,1%,,1/10W,603
,,R1306,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P10.0KHCT-ND,,,,1%,,1/10W,603
,,R1310,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P10.0KHCT-ND,,,,1%,,1/10W,603
,,R1501,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R1502,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R1503,100,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,A106047CT-ND,,,,1%,,1/10W,603
,,R1504,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R1505,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R1701,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R1702,100,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,A106047CT-ND,,,,1%,,1/10W,603
,,R1703,100,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,A106047CT-ND,,,,1%,,1/10W,603
,,R1704,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R1705,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R1801,1.07M,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,541-1.07MHCT-ND,,,,1%,,1/10W,603
,,R1802,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P10.0KHCT-ND,,,,1%,,1/10W,603
,,R1803,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,Telemetry,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R1804,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P10.0KHCT-ND,,,,1%,,1/10W,603
,,R1805,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P10.0KHCT-ND,,,,1%,,1/10W,603
,,R1806,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R1807,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P10.0KHCT-ND,,,,1%,,1/10W,603
,,R1808,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P10.0KHCT-ND,,,,1%,,1/10W,603
,,R1809,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,TOF,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R1810,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,P10.0KHCT-ND,,,,1%,,1/10W,603
,,R1811,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,Backup_RTC,,,YAG3351CT-ND,,,,1%,,1/10W,603
,,R1901,1.07M,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1M07CT-ND,,,,1%,,1/10W,603
,,R1902,220k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT220KCT-ND,,,,1%,,1/10W,603
,,R1903,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG2321CT-ND,,,,1%,,1/10W,603
,,R2001,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R2003,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2005,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R2006,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R2007,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2008,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2010,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R2012,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2101,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2102,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2103,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2104,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2105,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2106,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2107,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2201,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R2202,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R2203,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R2401,100k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,A106046CT-ND,,,,1%,,1/10W,603
,,R2402,487k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,311-487KHRCT-ND,,,,1%,,1/10W,603
,,R2403,6.04k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT6K04CT-ND,,,,1%,,1/10W,603
,,R2404,40.2k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,311-40.2KHRCT-ND,,,,1%,,1/10W,603
,,R2405,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R2406,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG2321CT-ND,,,,1%,,1/10W,603
,,R2407,0.02,Custom_Library:R_Custom,Resistors_SMD:R_0612,,,,,,,P16010CT-ND,,,,1%,,1W,612
,,R2408,27,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT27R0CT-ND,,,,1%,,1/10W,603
,,R2409,27,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT27R0CT-ND,,,,1%,,1/10W,603
,,R2410,10,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,YAG2321CT-ND,,,,1%,,1/10W,603
,,R2411,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2412,100k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,A106046CT-ND,,,,1%,,1/10W,603
,,R2413,100k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,A106046CT-ND,,,,1%,,1/10W,603
,,R2414,100k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,A106046CT-ND,,,,1%,,1/10W,603
,,R2801,10K,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RHM10KADCT-ND,,,,1%,,1/10W,603
,,R2802,10K,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RHM10KADCT-ND,,,,1%,,1/10W,603
,,R2803,10K,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RHM10KADCT-ND,,,,1%,,1/10W,603
,,R2804,10K,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RHM10KADCT-ND,,,,1%,,1/10W,603
,,R2903,10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT10K0CT-ND,,,,1%,,1/10W,603
,,R2904,10K,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RHM10KADCT-ND,,,,1%,,1/10W,603
,,R2907,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2908,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2909,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2910,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2911,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,R2912,1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K00CT-ND,,,,1%,,1/10W,603
,,RN2801,10k,Device:R_Pack08,Resistors_SMD:R_Array_Convex_8x0602,~,,,,,,Y1103CT-ND,,,,,,,
,,RN2802,10k,Device:R_Pack08,Resistors_SMD:R_Array_Convex_8x0602,~,,,,,,Y1103CT-ND,,,,,,,
,,RN2901,10k,Device:R_Pack08,Resistors_SMD:R_Array_Convex_8x0602,~,,,,,,Y1103CT-ND,,,,,,,
,,RN2902,10k,Device:R_Pack08,Resistors_SMD:R_Array_Convex_8x0602,~,,,,,,Y1103CT-ND,,,,,,,
,,SW1501,MRST,Switch:SW_Push,Buttons_Switches_THT:SW_PUSH_6mm,,,,,,,,,,,,,,
,,U201,TPS26600RHFT,Custom_Library:TPS26600RHFT,Housings_DFN_QFN:QFN-24-1EP_4x5mm_Pitch0.5mm,http://www.ti.com/lit/ds/symlink/tps2660.pdf,,,,,,296-45478-1-ND,,,,,,,
,,U301,INA219BxDCN,Analog_ADC:INA219BxDCN,Package_TO_SOT_SMD:SOT-23-8,http://www.ti.com/lit/ds/symlink/ina219.pdf,,,Telemetry,,,296-46420-1-ND,,,,,,,
,,U302,MCP9804,Sensor_Temperature:MCP9804_DFN,Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,http://ww1.microchip.com/downloads/en/DeviceDoc/22203b.pdf,,,Telemetry,,,MCP9804T-E/MCCT-ND,,,,,,,
,,U401,TPS62150A,Custom_Library:TPS62150A,Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,https://www.ti.com/lit/ds/symlink/tps62150.pdf?&ts=1589125931316,,,,,,296-41757-1-ND,,,,,,,
,,U502,MCP9804,Sensor_Temperature:MCP9804_DFN,Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,http://ww1.microchip.com/downloads/en/DeviceDoc/22203b.pdf,,,Telemetry,,,MCP9804T-E/MCCT-ND,,,,,,,
,,U503,INA219BxDCN,Analog_ADC:INA219BxDCN,Package_TO_SOT_SMD:SOT-23-8,http://www.ti.com/lit/ds/symlink/ina219.pdf,,,Telemetry,,,296-46420-1-ND,,,,,,,
,,U601,TPS62150A,Custom_Library:TPS62150A,Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,https://www.ti.com/lit/ds/symlink/tps62150.pdf?&ts=1589125931316,,,,,,296-41757-1-ND,,,,,,,
,,U702,MCP9804,Sensor_Temperature:MCP9804_DFN,Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,http://ww1.microchip.com/downloads/en/DeviceDoc/22203b.pdf,,,Telemetry,,,MCP9804T-E/MCCT-ND,,,,,,,
,,U703,INA219BxDCN,Analog_ADC:INA219BxDCN,Package_TO_SOT_SMD:SOT-23-8,http://www.ti.com/lit/ds/symlink/ina219.pdf,,,Telemetry,,,296-46420-1-ND,,,,,,,
,,U801,TPS62150A,Custom_Library:TPS62150A,Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,https://www.ti.com/lit/ds/symlink/tps62150.pdf?&ts=1589125931316,,,,,,296-41757-1-ND,,,,,,,
